
Nasjonal vegdatabank- PRODUKSJON          2021-11-15 09.04

Oversikt over veglenker som ikke er fullt dekket av objekttype 904 (vegkat ERF, fase VT, trafikantgr K, vegtype -ferje)

PL/SQL procedure successfully completed.


       NID      MSLOC      MELOC     LENGTH VREF
---------- ---------- ---------- ---------- ----------------------------------------
     21765  .36944962  .41532587    357.843 4221 PV98455 S1D1 seq=1000 (K)
     21802  .82250887  .82254903       .153 FV403 S2D1 seq=19000 (K)
     21855  .32732901  .32739168       .218 FV420 S4D1 seq=2000 (K)
     21954  .72293818  .72302108        .13 FV3504 S1D1 seq=5000 (K)
     21955  .69733773  .69743015       .372 FV3506 S1D1 seq=5000 (K)
     22160  .74120307  .98080549    171.468 EV18 S18D1 seq=7000 SD1 (K)
     22172  .26577584  .28759837    215.396 RV9 S12D46 seq=27000 (K)
     22172  .55071907  .56399532    131.041 RV9 S12D48 seq=28000 (K)
     22196          0  .18454846    244.289 FV409 S3D10 seq=5000 (K)
     22201   .5953304   .5953799       .473 FV411 S1D1 seq=1000 (K)
     42785  .04457977  .04465728       .334 FV6686 S1D1 seq=19000 (K)
     47867          0          1     12.246 FV6650 S2D65 seq=29100 (K)
     67476          0          1     53.759 FV800 S2D1 seq=7500 SD1 (K)
     72303  .44582462  .44585305       .211 FV705 S5D1 seq=2000 (K)
     72414  .00121803  .00130094       .204 FV6322 S1D1 seq=2000 (K)
     72582  .78575635  .78643786       .366 FV6524 S1D1 seq=13000 (K)
     72601  .06005649  .06011042       .269 FV6546 S1D1 seq=3000 (K)
     72619  .09027439  .09028219       .072 FV6566 S1D1 seq=4000 (K)
    112775  .74886568          1     41.578 EV39 S112D1 seq=3000 SD1 (K)
    115833          0          1    181.818 FV4028 S1D1 seq=3000 (K)
    121372  .32707765  .32711041       .321 FV461 S5D1 seq=17000 (K)
    121470  .69975413  .69986554       .996 FV4090 S1D1 seq=4000 (K)
    121580  .99833835          1      1.002 FV4232 S1D10 seq=2000 (K)
    121717  .99595703  .99609169      1.041 FV4212 S1D1 seq=2000 (K)
    121819  .12111056  .12111268        .02 FV478 S1D1 seq=1000 (K)
    121835  .28556775  .28562545       .405 FV4091 S2D1 seq=1000 (K)
    121838  .99968883          1      2.843 FV480 S2D1 seq=1000 (K)
    180957  .91683984  .91686011       .098 RV52 S6D1 seq=4000 (K)
    181045  .37099407  .37099819       .039 FV2716 S1D1 seq=3000 (K)
    181127  .25552041  .25553999       .113 FV2792 S2D1 seq=2000 (K)
    181177  .01882775   .0188682       .138 FV2888 S1D1 seq=1000 (K)
    181348  .91008724  .91009507       .076 FV2792 S1D1 seq=1000 (K)
    226313          0          1     96.672 FV680 S1D1 seq=3000 SD1 (K)
    227731          0   .5358193    181.457 FV652 S1D140 seq=12001 (G)
    232042          0          1     52.031 FV63 S5D1 seq=2000 SD1 (K)
    232432          0  .33990165     88.802 FV63 S5D1 seq=2000 SD1 (K)
    236218          0          1    155.818 EV136 S4D1 seq=1000 SD1 (K)
    237374          0  .03556853     10.622 FV660 S6D1 seq=2000 SD1 (K)
    246948          0          1     101.33 FV680 S3D1 seq=300 SD1 (K)
    249145   .1482019  .14828702       .488 FV5870 S1D1 seq=1000 (K)
    249156  .93408605  .93413236       .282 FV5886 S2D1 seq=2000 (K)
    249595  .69266935  .69267512       .055 RV70 S17D1 seq=27000 (K)
    285016  .91290024  .91307006       .194 FV4534 S2D1 seq=10000 (K)
    299984          0          1     71.623 EV39 S105D1 seq=5000 SD1 (K)
    301670  .15331645  .85675473     52.893 1119 PV99813 S2D1 seq=1000 (K)
    319648  .67431765  .67438321        .37 EV134 S3D1 seq=3000 (K)
    319725  .34675244  .34688988       .339 FV44 S16D1 seq=12000 (K)
    319808  .00093501  .00094682       .101 FV46 S6D1 seq=4000 (K)
    319977  .25291147  .25291813       .064 FV4258 S1D1 seq=2900 (K)
    319987  .27164402  .27168802       .438 FV4246 S1D1 seq=4000 (K)
    320020  .20498752  .20503172       .429 FV4308 S1D1 seq=1000 (K)
    320039  .00088841  .00090365       .053 FV4356 S1D1 seq=2000 (K)
    320390  .17384535  .17409022       .325 FV4688 S1D1 seq=4000 (K)
    320440  .16575024   .1657839       .179 FV4724 S1D1 seq=1000 (K)
    320589  .94764479  .94765369       .089 EV134 S3D1 seq=7000 (K)
    320608  .72976608  .72980433       .369 FV44 S8D1 seq=2000 (K)
    320628  .80566623  .80570336       .288 FV505 S3D1 seq=4000 (K)
    320637  .50710916  .50712355       .127 FV511 S1D1 seq=4000 (K)
    320669  .03921334  .03921646       .024 FV4424 S1D1 seq=1000 (K)
    320726  .72352878  .72357233       .385 FV4680 S1D1 seq=4000 (K)
    367754  .47699282          1    137.203 4602 PV2064 S14D1 seq=1000 (K)
    384309  .91758331  .91761775       .308 FV5664 S1D1 seq=5000 (K)
    416873          0          1    290.764 EV18 S57D1 seq=3000 SD1 (K)
    443384  .01157604  .01187861       .303 RV4 S1D1 seq=143000 (K)
    443400  .03836659  .03847443       .405 FV22 S1D1 seq=2000 (K)
    443505  .00212838  .00214244        .04 FV152 S1D1 seq=1000 (K)
    443722  .06586135  .06617055       .294 FV1356 S1D1 seq=1000 (K)
    443722  .99567099  .99578947       .113 FV1356 S1D1 seq=1000 (K)
    443741  .33245581  .33254565       .447 FV1370 S1D1 seq=4000 (K)
    443741  .34170692  .34171816       .056 FV1370 S1D1 seq=4000 (K)
    443829  .79194631  .79366537       .253 FV1630 S1D1 seq=3000 (K)
    443945  .44775498  .44815506      2.888 FV1500 S1D1 seq=5000 (K)
    444232   .1381543  .13818367       .275 EV18 S53D1 seq=22000 (K)
    444232  .15358502  .15361581       .289 EV18 S53D1 seq=21000 (K)
    444331  .21465597  .21472333       .175 FV1434 S2D1 seq=1000 (K)
    494237  .93571289          1     28.186 3822 KV4 S1D1 seq=1000 (K)
    508138          0  .64522544     76.393 RV36 S10D1 seq=21000 SD1 (K)
    521249   .5134334  .51368449      1.006 FV3278 S1D1 seq=2000 (K)
    521269  .38629449  .45841725    610.449 FV3310 S3D20 seq=5000 (K)
    521269   .4807228  .49524921    122.952 FV3310 S3D1 seq=8000 (K)
    521277  .99849034          1      3.006 FV3328 S3D1 seq=2000 (K)
    521378  .75565286    .824356    664.999 FV363 S2D1 seq=12000 (K)
    521475  .72006498  .79891299    787.554 FV3310 S4D10 seq=11000 (K)
    521479          0  .00053444      4.878 FV3328 S1D1 seq=1000 (K)
    521483  .22955822  .22956491       .066 FV3374 S1D1 seq=1000 (K)
    555992          0  .93217318    146.152 EV6 S88D110 seq=9610 (K)
    558499          0          1     52.188 FV7068 S2D1 seq=4000 (K)
    558530          0          1     71.721 FV7068 S2D1 seq=4000 (K)
    558531          0          1     53.118 FV7068 S2D1 seq=4000 (K)
    558737          0          1     24.585 FV7068 S2D1 seq=4000 (K)
    561625          0          1     93.263 EV6 S4D40 seq=5200 (G)
    573027          0          1     55.045 FV760 S1D1 seq=2000 SD1 (K)
    573308          0          1      72.56 FV760 S1D1 seq=2000 SD1 (K)
    578115     .60761  .60769035       .131 FV72 S1D50 seq=16000 (K)
    578265  .81729099  .81729437       .033 FV6810 S1D1 seq=9000 (K)
    578297  .91660732  .91663739       .142 FV6846 S1D1 seq=3000 (K)
    578605  .17006486  .17007549       .106 EV6 S92D1 seq=10000 (K)
    578627  .43775134   .4377856       .341 FV17 S4D1 seq=13000 (K)
    578703   .1645353  .16456924       .339 FV6950 S1D1 seq=1000 (K)
    578703  .81351733   .8135218       .045 FV6950 S1D1 seq=1000 (K)
    625327  .97124624  .97126219       .016 EV18 S55D1 seq=79500 KD5 (K)
    677720          0          1    134.796 FV210 S3D1 seq=2000 SD1 (K)
    704784  .99787143  .99794653       .177 FV1784 S1D1 seq=1000 (K)
    704881  .45139716  .45149184       .423 FV1852 S1D1 seq=1000 (K)
    704903  .88976222  .88979529       .182 FV1920 S1D1 seq=1000 (K)
    704947  .10637139  .10638939        .06 FV1964 S1D1 seq=1000 (K)
    705050  .87864898  .87873335       .505 FV2132 S1D1 seq=10000 (K)
    705153  .05392808  .05400787       .175 FV2260 S1D1 seq=2000 (K)
    705324  .13224751  .13229569       .471 FV2040 S1D1 seq=1000 (K)
    705384  .99847095  .99848135       .101 FV2261 S1D1 seq=1000 (K)
    755189  .57029135  .57894737        .33 FV556 S1D10 seq=4000 (K)
    780076  .30096011  .87444004     67.263 FV500 S5D100 seq=1060 (G)
    783912  .17986701   .3357661      36.77 FV49 S7D120 seq=12100 (G)
    804919  .11719745  .11723706       .384 RV13 S36D1 seq=2000 (K)
    805176  .09922398  .09923403        .09 FV5014 S1D1 seq=3000 (K)
    805288  .72240526  .72241449       .089 FV5162 S1D1 seq=1000 (K)
    805338  .83821481  .83825348       .225 FV5224 S1D1 seq=19000 (K)
    805369  .31007078  .31010206       .249 FV5278 S1D1 seq=1000 (K)
